full path, filename, sheet, processed result, checked result
./test objects/craig_dean__4445__Bike to Beach '01.xlsx, craig_dean__4445__Bike to Beach '01.xlsx, Sheet2, Empty
./test objects/craig_dean__4445__Bike to Beach '01.xlsx, craig_dean__4445__Bike to Beach '01.xlsx, Sheet3, Empty
./test objects/daren_farmer__5218__BMSPT051.xlsx, daren_farmer__5218__BMSPT051.xlsx, BMSPT066, Useful
./test objects/daren_farmer__5420__hpl0818.xlsx, daren_farmer__5420__hpl0818.xlsx, Sheet1, Junk
./test objects/daren_farmer__5420__hpl0818.xlsx, daren_farmer__5420__hpl0818.xlsx, Sheet2, Empty
./test objects/daren_farmer__5420__hpl0818.xlsx, daren_farmer__5420__hpl0818.xlsx, Sheet3, Empty
./test objects/daren_farmer__5910__leak.xlsx, daren_farmer__5910__leak.xlsx, PRESS, Useful
./test objects/daren_farmer__5910__leak.xlsx, daren_farmer__5910__leak.xlsx, AREA, Useful
./test objects/daren_farmer__5910__leak.xlsx, daren_farmer__5910__leak.xlsx, VOLUME, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, monthly, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, by type_area, Junk
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, summary, Junk
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, williams, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Lonestar, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, PG&E, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, SoCal, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, PGETX, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, El Paso, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Red C, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Amoco, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Oasis, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Agave, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Conoco, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, NW, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, transcol, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Duke, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, DEFS, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, mewborne, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Amoco Abo, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, NNG, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, PNM, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, NGPL, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Mojave, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, EOG, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, KN_Westar, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Continental, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, CIG, Junk
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Calpine, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, EPFS, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, SidR, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, NS Steel, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Citizens-Griffith, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Citizens, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, PEPL, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, MiVida_Rich, Junk
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, WTGmktg, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, WTG inc, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Dominion, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Devon, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, crosstex, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Amarillo, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, SWGasTrans, Useful
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Stratland, Junk
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, Plains, Junk
./test objects/darrell_schoolcraft__7334__imball0203.xlsx, darrell_schoolcraft__7334__imball0203.xlsx, burlington, Useful
./test objects/diana_scholtes__8556__West Power Cash 01162002.xlsx, diana_scholtes__8556__West Power Cash 01162002.xlsx, 5 Day, Junk
./test objects/diana_scholtes__8556__West Power Cash 01162002.xlsx, diana_scholtes__8556__West Power Cash 01162002.xlsx,  Approval Requests, Junk
./test objects/diana_scholtes__8556__West Power Cash 01162002.xlsx, diana_scholtes__8556__West Power Cash 01162002.xlsx, PDX Trading, Useful
./test objects/diana_scholtes__8556__West Power Cash 01162002.xlsx, diana_scholtes__8556__West Power Cash 01162002.xlsx, Contact List, Junk
./test objects/draft_sf3profile.xls, draft_sf3profile.xls, DP-1, Useful
./test objects/draft_sf3profile.xls, draft_sf3profile.xls, DP-2, Junk
./test objects/draft_sf3profile.xls, draft_sf3profile.xls, DP-3, Useful
./test objects/draft_sf3profile.xls, draft_sf3profile.xls, DP-4, Useful
./test objects/e1d6bc12-7d87-405c-b458-cc728ffb4f7c.xls, e1d6bc12-7d87-405c-b458-cc728ffb4f7c.xls, Sheet1, Junk
./test objects/eecs1.generic_grade_sheet.xls, eecs1.generic_grade_sheet.xls, Setup, Junk
